"Row.names"	"sum"	"sample.name"	"sample.no"	"sample"	"Phase"	"Region"	"Regime"	"Region_Regime"	"region_regime"	"sample_regime"	"sample_or_control"	"Sample_Type"	"is.neg"
"81"	"pyloric-MMV-T5-Rep3"	838	"3_5_3_P"	70	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"82"	"pyloric-MMV-T5-Rep4"	3626	"3_5_4_P"	126	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"83"	"pyloric-MMV-T5-Rep5"	1586	"3_5_5_P"	82	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"84"	"pyloric-MMV-T5-Rep6"	1005	"3_5_6_P"	87	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"85"	"pyloric-MMV-T9-Rep1"	1476	"3_9_1_P"	177	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"86"	"pyloric-MMV-T9-Rep2"	2626	"3_9_2_P"	119	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"87"	"pyloric-MMV-T9-Rep5"	1594	"3_9_5_P"	206	"gut"	"challenge"	"pyloric"	"MMV"	"pyloric.MMV"	"pyloric.MMV"	"gut.MMV"	"sample"	"gut_pyloric"	FALSE
"88"	"pyloric-VMV-T12-Rep1"	729	"3_12_1_P"	121	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"89"	"pyloric-VMV-T12-Rep2"	21492	"3_12_2_P"	144	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"90"	"pyloric-VMV-T12-Rep4"	16170	"3_12_4_P"	148	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
