"Row.names"	"sum"	"sample.name"	"sample.no"	"sample"	"Phase"	"Region"	"Regime"	"Region_Regime"	"region_regime"	"sample_regime"	"sample_or_control"	"Sample_Type"	"is.neg"
"98"	"pyloric-VMV-T12-Rep2"	21958	"3_12_2_P"	144	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"99"	"pyloric-VMV-T12-Rep3"	233	"3_12_3_P"	25	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"100"	"pyloric-VMV-T12-Rep4"	16815	"3_12_4_P"	148	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"101"	"pyloric-VMV-T12-Rep5"	1043	"3_12_5_P"	31	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"102"	"pyloric-VMV-T12-Rep6"	1135	"3_12_6_P"	133	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"103"	"pyloric-VMV-T3-Rep1"	3892	"3_3_1_P"	22	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"104"	"pyloric-VMV-T3-Rep2"	265	"3_3_2_P"	28	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"105"	"pyloric-VMV-T3-Rep3"	17	"3_3_3_P"	34	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"106"	"pyloric-VMV-T3-Rep4"	2	"3_3_4_P"	40	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"107"	"pyloric-VMV-T3-Rep5"	864	"3_3_5_P"	46	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"108"	"pyloric-VMV-T3-Rep6"	1017	"3_3_6_P"	52	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"109"	"pyloric-VMV-T8-Rep1"	1097	"3_8_1_P"	222	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"110"	"pyloric-VMV-T8-Rep2"	3320	"3_8_2_P"	172	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"111"	"pyloric-VMV-T8-Rep3"	5483	"3_8_3_P"	123	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"112"	"pyloric-VMV-T8-Rep4"	4097	"3_8_4_P"	101	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"113"	"pyloric-VMV-T8-Rep5"	1381	"3_8_5_P"	106	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"114"	"pyloric-VMV-T8-Rep6"	521	"3_8_6_P"	109	"gut"	"challenge"	"pyloric"	"VMV"	"pyloric.VMV"	"pyloric.VMV"	"gut.VMV"	"sample"	"gut_pyloric"	FALSE
"115"	"water-MMV-T1-Rep1"	52389	"X1"	204	"water"	"challenge"	"water"	"MMV"	"water.MMV"	"water.MMV"	"water.MMV"	"sample"	"water"	FALSE
"116"	"water-MMV-T9-Rep2"	205458	"X9"	232	"water"	"challenge"	"water"	"MMV"	"water.MMV"	"water.MMV"	"water.MMV"	"sample"	"water"	FALSE
"117"	"water-VMV-T12-Rep3"	37523	"X12"	229	"water"	"challenge"	"water"	"VMV"	"water.VMV"	"water.VMV"	"water.VMV"	"sample"	"water"	FALSE
"118"	"water-VMV-T3-Rep1"	61584	"X3"	210	"water"	"challenge"	"water"	"VMV"	"water.VMV"	"water.VMV"	"water.VMV"	"sample"	"water"	FALSE
"119"	"water-VMV-T3+12-Rep4"	54125	"X3+12"	190	"water"	"challenge"	"water"	"VMV"	"water.VMV"	"water.VMV"	"water.VMV"	"sample"	"water"	FALSE
"120"	"water-VMV-T8-Rep2"	201560	"X8"	241	"water"	"challenge"	"water"	"VMV"	"water.VMV"	"water.VMV"	"water.VMV"	"sample"	"water"	FALSE
